Gender,acc,acq,acs,acu,ape,apf,api
Female,432.08442,456.69886,444.54742,405.75636,441.1201,439.09488,415.88252
Female,422.03616,450.54526,457.3999,457.86728,448.20844,432.00654,411.5984
Female,527.0369,563.4912,554.92288,489.33636,516.91074,538.87676,519.55912
Female,436.2128,487.62266,449.45476,489.95948,492.60788,461.29458,435.43386
Male,631.10298,572.99424,563.80276,580.78358,627.67566,643.2544,580.16044
Female,424.37296,443.84642,390.56708,424.52874,456.93256,411.75416,441.97692
Female,597.68654,612.17478,544.09568,591.92242,554.845,553.13134,593.01292
Male,502.65618,489.7258,545.18618,492.06266,520.41596,509.66662,428.18974
Male,420.08882,494.71102,477.73016,446.88424,472.43338,462.30722,466.51348
Female,636.08818,613.49898,603.37276,569.09956,595.27184,550.24926,563.3354
Female,510.36766,486.99956,506.0056,471.57658,520.02648,496.50258,470.64186
Female,508.18664,542.45988,546.19878,520.18226,522.51908,539.6557,552.58606
Female,574.63002,591.61084,525.08958,601.73704,568.08694,588.96246,606.41068
Male,397.81122,424.9182,385.34816,400.45958,429.59184,429.12446,443.30114
Male,698.71476,695.44322,663.35098,645.59124,687.96542,668.95934,693.88536
Female,481.4691,522.597,472.12182,515.11918,489.57002,477.10704,549.54822
Female,414.091,429.35814,403.809,463.31982,447.58528,421.2572,451.47998
Male,470.0966,509.8224,413.70152,462.77456,447.66316,477.57438,468.6945
Male,484.11746,557.33762,442.05482,495.3342,507.3298,487.5448,525.55694
Male,464.41036,426.86556,455.0631,463.94298,469.08396,458.802,475.15968
Female,480.76804,532.64526,518.4686,515.19706,516.2876,544.01774,486.53218
Female,549.15874,555.23444,530.7758,554.14394,550.09346,550.24924,537.00734
Male,528.12742,530.30844,600.10126,569.25534,549.31452,587.01512,552.1187
Male,521.81802,520.26018,490.66052,490.97212,508.88768,531.1653,508.73188
Male,469.70712,441.04222,430.44866,431.38342,489.02478,422.97088,415.33728
Female,425.54136,481.78064,479.9112,463.08614,466.51346,473.83548,512.31502
Male,646.52596,648.5512,664.75308,629.3893,651.8227,673.00984,669.5825
Male,593.01294,569.8006,554.84498,535.83892,565.12696,590.52034,557.80494
Male,466.20192,409.18364,434.8886,429.12448,455.14098,477.5744,447.97476
Female,438.93908,429.59184,418.21934,444.23586,428.34554,429.12446,445.94952
Female,617.23788,621.28836,606.64434,629.38932,607.89064,614.2779,578.13522
Female,536.22838,499.77414,494.00998,543.39462,520.80542,526.41376,487.3111
Female,394.69544,400.30378,484.58484,443.30112,410.58576,449.68844,450.62318
Male,459.34726,445.1706,467.2924,464.17664,425.38556,448.7537,484.7406
Male,563.02384,589.35192,531.24318,591.68872,596.36236,588.72874,573.92896
Male,439.9517,426.3982,438.5496,480.76804,449.61052,469.8629,442.91166
Male,497.12572,485.59744,491.05,499.15096,465.65664,536.53994,468.46082
Male,560.60914,565.28276,578.52472,530.69794,573.3837,568.86586,545.9651
Male,504.52562,510.44556,488.94688,490.03738,506.23932,470.87552,546.43246
Male,479.36596,505.84982,534.35892,501.64356,525.0117,465.65664,447.8969
Male,438.70542,349.1276,376.85778,417.20676,407.5479,383.55664,420.47826
Male,681.18864,617.9389,590.67612,592.23398,616.38102,599.55602,638.81448
Male,483.02694,439.71802,392.6702,454.36206,454.36206,429.9034,450.46736
Male,417.98566,361.74638,364.0832,401.47218,380.59666,363.30424,422.19194
Female,638.19132,588.18352,582.73098,580.54992,612.48638,608.43588,591.45506
Female,381.99876,319.99532,263.28868,342.11716,334.172,312.8291,357.6959
Male,487.77846,456.77678,488.4016,506.78454,548.22402,501.48776,467.68186
Male,718.96714,709.3083,670.36146,649.01854,702.92104,675.6582,630.79138
Male,486.14268,405.91212,377.24724,379.89562,447.3516,436.6023,450.77894
Male,497.3594,459.97042,439.0949,418.68672,431.92866,430.68236,440.96432
Female,464.9556,484.11744,431.46128,497.82676,441.27592,455.60836,484.42904
Female,373.9757,366.80946,372.4178,408.09316,334.56148,297.32824,385.65976
Male,602.12648,562.4007,552.58608,506.00562,594.02554,546.51034,568.94376
Male,481.23542,424.52874,376.85778,379.03878,444.46952,419.23196,420.94564
Male,458.41254,408.09316,391.89124,434.10968,388.46394,378.64932,417.4404
Female,443.69062,362.3695,331.05626,392.28074,422.65928,355.51486,391.5018
Male,422.19192,388.23024,358.78642,436.99172,419.85512,397.26592,413.46782
Female,450.62316,404.51004,424.13928,416.1941,421.64668,439.56224,436.91384
Female,542.84936,482.55958,466.82504,503.12356,510.28976,447.5074,483.4943
Female,439.17278,358.9422,398.04488,347.25816,387.76288,395.70806,322.9553
Female,687.73172,612.48636,557.64918,575.8763,607.1896,622.61254,641.15128
Female,428.5792,427.3329,435.90122,391.96916,397.4217,384.33556,420.16668
Female,690.76958,635.93238,623.93674,668.18038,616.9263,627.20828,700.27264
Female,540.20098,450.77896,479.75538,447.97476,454.0505,462.77458,473.36812
Male,506.62876,464.72192,450.54528,465.18928,485.75322,464.09876,503.04564
Female,634.5303,641.85232,603.68438,556.48076,622.69048,600.25706,598.85494
Male,422.7372,332.38044,366.65368,380.83034,376.15672,336.27512,347.80338
Male,634.76398,585.06778,563.56908,577.58996,536.92944,534.12526,574.63002
Male,474.38074,454.75152,416.4278,451.79156,461.91774,420.63406,471.4208
Male,489.49214,540.12306,525.16748,555.23446,553.0534,504.44774,553.67658
Male,526.41376,468.4608,505.53824,498.52782,480.76802,449.9221,494.63312
Male,553.5987,590.6761,529.76322,512.62658,573.53948,545.49774,550.17136
Male,444.08008,446.57268,340.16982,411.98784,397.18804,400.30378,371.17154
Female,504.68142,520.41598,517.14442,502.96776,527.89378,497.04784,495.02258
Female,547.05562,537.70838,553.28712,563.88068,546.58826,555.31238,514.34022
Female,418.99826,414.01308,406.22372,396.87644,416.81724,401.55006,391.89126
Female,570.19004,508.49822,534.04736,487.62266,546.19878,518.00122,494.32156
Male,335.88564,269.2086,281.20422,284.47578,336.97616,266.24864,308.62284
Male,451.71366,433.48652,414.48044,423.8277,450.15578,430.21496,411.05314
Female,374.91042,339.85822,378.02616,358.24116,361.20112,343.75292,357.30644
Male,466.90294,492.4521,498.99518,493.6984,483.10484,483.728,446.65056
Male,629.5451,580.31626,516.28758,562.71224,619.10734,591.06558,581.25096
Female,549.23666,528.98428,547.67876,546.2767,541.44726,526.49168,519.01386
Female,484.8185,482.17012,433.25284,529.99688,464.56614,459.11358,521.42856
Male,452.64838,407.78158,413.07838,455.45254,437.38118,436.1349,428.81292
Male,564.34802,560.9207,497.98258,552.1966,533.03474,525.24538,556.55866
Male,408.95,348.34864,405.52268,343.36344,387.60712,373.74202,301.30084
Female,417.6741,403.18586,410.50786,426.39818,405.67846,314.38698,400.53748
Female,585.30144,534.04736,543.7062,562.86806,588.1056,531.0874,569.87848
Male,491.20578,434.34336,470.17448,463.78722,486.84374,457.24414,469.39554
Male,466.2019,432.55178,490.50476,455.76412,455.76416,489.7258,493.7763
Female,398.20068,380.90826,417.98568,418.7646,378.41564,384.64716,374.05362
Female,566.13958,544.17356,526.25798,501.79934,556.94812,522.3633,548.06822
Female,377.94828,331.67938,288.0589,329.80994,372.18412,380.75246,326.22682
Male,351.07494,342.03926,360.4222,356.68326,352.32122,323.65632,367.12106
Male,404.43216,412.06572,393.37124,384.64714,381.99876,372.8073,398.66802
Female,548.7693,537.24102,514.6518,519.16964,535.05998,528.67268,532.5674
Female,687.42014,724.186,665.92148,729.95014,685.55074,691.15908,671.8414
